"Country","Life Expectancy","Region"
"BRAZIL",76.3,"SOUTH AMERICA"
"UZBEKISTAN",76.2,"CENTRAL ASIA"
"VIETNAM",76.1,"EAST AND SOUTHEAST ASIA"
"MONTSERRAT",76.1,"CENTRAL AMERICA AND THE CARIBBEAN"
"LITHUANIA",76.1,"EUROPE"
"BULGARIA",76.1,"EUROPE"
"HUNGARY",76,"EUROPE"
"AZERBAIJAN",75.9,"CENTRAL ASIA"
"EL SALVADOR",75.9,"CENTRAL AMERICA AND THE CARIBBEAN"
"AMERICAN SAMOA",75.8,"AUSTRALIA AND OCEANIA"
"VANUATU",75.7,"AUSTRALIA AND OCEANIA"
"SAMOA",75.7,"AUSTRALIA AND OCEANIA"
"IRAN",75.6,"MIDDLE EAST"
"GAZA STRIP",75.5,"MIDDLE EAST"
"MAURITIUS",75.4,"AFRICA"
"SERBIA",75.3,"EUROPE"
"BANGLADESH",75.2,"SOUTH ASIA"
"MARSHALL ISLANDS",75.2,"AUSTRALIA AND OCEANIA"
"PALAU",75.2,"AUSTRALIA AND OCEANIA"
"EGYPT",75,"AFRICA"
"MICRONESIA FEDERATED STATES OF",75,"AUSTRALIA AND OCEANIA"
"COLOMBIA",74.9,"SOUTH AMERICA"
"ECUADOR",74.9,"SOUTH AMERICA"
"FIJI",74.8,"AUSTRALIA AND OCEANIA"
"SYRIA",74.8,"MIDDLE EAST"
"BELARUS",74.7,"EUROPE"
"NICARAGUA",74.7,"CENTRAL AMERICA AND THE CARIBBEAN"
"MEXICO",74.6,"NORTH AMERICA"
"GREENLAND",74.5,"NORTH AMERICA"
"VENEZUELA",74.5,"SOUTH AMERICA"
"BELIZE",74.3,"CENTRAL AMERICA AND THE CARIBBEAN"
"CABO VERDE",74.3,"AFRICA"
"MOROCCO",74.2,"AFRICA"
"IRAQ",73.7,"MIDDLE EAST"
"BHUTAN",73.7,"SOUTH ASIA"
"INDONESIA",73.6,"EAST AND SOUTHEAST ASIA"
"GUATEMALA",73.5,"CENTRAL AMERICA AND THE CARIBBEAN"
"KOREA NORTH",73.5,"EAST AND SOUTHEAST ASIA"
"KAZAKHSTAN",73.3,"CENTRAL ASIA"
"HONDURAS",73.1,"CENTRAL AMERICA AND THE CARIBBEAN"
"KOSOVO",73.1,"EUROPE"
"NEPAL",73,"SOUTH ASIA"
"MALAWI",73,"AFRICA"
"CONGO REPUBLIC OF THE",72.9,"AFRICA"
"KYRGYZSTAN",72.9,"CENTRAL ASIA"
"GEORGIA",72.8,"CENTRAL ASIA"
"SURINAME",72.7,"SOUTH AMERICA"
"DOMINICAN REPUBLIC",72.6,"CENTRAL AMERICA AND THE CARIBBEAN"
"BOLIVIA",72.5,"SOUTH AMERICA"
"TURKMENISTAN",72.4,"CENTRAL ASIA"
"GUYANA",72.4,"SOUTH AMERICA"
"RUSSIA",72.3,"CENTRAL ASIA"
"TOGO",72.1,"AFRICA"
"SOUTH AFRICA",71.9,"AFRICA"
"TAJIKISTAN",71.9,"CENTRAL ASIA"
"MONGOLIA",71.9,"EAST AND SOUTHEAST ASIA"
"CAMBODIA",71.4,"EAST AND SOUTHEAST ASIA"
"PHILIPPINES",70.8,"EAST AND SOUTHEAST ASIA"
"TANZANIA",70.8,"AFRICA"
"SENEGAL",70.6,"AFRICA"
"UKRAINE",70.5,"EUROPE"
"TIMOR LESTE",70.5,"EAST AND SOUTHEAST ASIA"
"GABON",70.4,"AFRICA"
"KENYA",70.4,"AFRICA"
"BURMA",70.3,"EAST AND SOUTHEAST ASIA"
"PAKISTAN",70.3,"SOUTH ASIA"
"MOLDOVA",70.1,"EUROPE"
"GHANA",70.1,"AFRICA"
"PAPUA NEW GUINEA",70.1,"EAST AND SOUTHEAST ASIA"
"UGANDA",69.7,"AFRICA"
"LAOS",69,"EAST AND SOUTHEAST ASIA"
"TUVALU",69,"AUSTRALIA AND OCEANIA"
"PERU",68.9,"SOUTH AMERICA"
"MADAGASCAR",68.8,"AFRICA"
"NAURU",68.6,"AUSTRALIA AND OCEANIA"
"KIRIBATI",68.5,"AUSTRALIA AND OCEANIA"
"GAMBIA THE",68.4,"AFRICA"
"INDIA",68.2,"SOUTH ASIA"
"YEMEN",68.2,"MIDDLE EAST"
"BURUNDI",68.1,"AFRICA"
"COMOROS",67.8,"AFRICA"
"SUDAN",67.8,"AFRICA"
"SAO TOME AND PRINCIPE",67.7,"AFRICA"
"ETHIOPIA",67.7,"AFRICA"
"ERITREA",67.5,"AFRICA"
"ZIMBABWE",67.2,"AFRICA"
"ZAMBIA",66.9,"AFRICA"
"RWANDA",66.6,"AFRICA"
"BOTSWANA",66.4,"AFRICA"
"DJIBOUTI",65.9,"AFRICA"
"NAMIBIA",65.9,"AFRICA"
"MAURITANIA",65.9,"AFRICA"
"HAITI",65.6,"CENTRAL AMERICA AND THE CARIBBEAN"
"GUINEA",64.6,"AFRICA"
"GUINEA BISSAU",64.5,"AFRICA"
"BURKINA FASO",64.2,"AFRICA"
"CAMEROON",64.2,"AFRICA"
"EQUATORIAL GUINEA",63.9,"AFRICA"
"MALI",63.2,"AFRICA"
"COTE D'IVOIRE",63.2,"AFRICA"
"BENIN",63,"AFRICA"
"ANGOLA",62.9,"AFRICA"
"CONGO DEMOCRATIC REPUBLIC OF THE",62.6,"AFRICA"
"NIGERIA",62.2,"AFRICA"
"LIBERIA",61.6,"AFRICA"
"NIGER",60.9,"AFRICA"
"ESWATINI",60.7,"AFRICA"
"SOUTH SUDAN",60.3,"AFRICA"
"LESOTHO",60.2,"AFRICA"
"CHAD",60,"AFRICA"
"SIERRA LEONE",59.4,"AFRICA"
"MOZAMBIQUE",58.3,"AFRICA"
"SOMALIA",56.5,"AFRICA"
"CENTRAL AFRICAN REPUBLIC",56.4,"AFRICA"
"AFGHANISTAN",54.4,"SOUTH ASIA"
