"Country","Mortality Rate","Region"
"TURKS AND CAICOS ISLANDS",10.8,"CENTRAL AMERICA AND THE CARIBBEAN"
"ALBANIA",10.8,"EUROPE"
"AZERBAIJAN",10.7,"CENTRAL ASIA"
"GUAM",10.7,"AUSTRALIA AND OCEANIA"
"TUNISIA",10.6,"AFRICA"
"PERU",10.6,"SOUTH AMERICA"
"PALAU",10.6,"AUSTRALIA AND OCEANIA"
"DOMINICA",10.5,"CENTRAL AMERICA AND THE CARIBBEAN"
"LIBYA",10.4,"AFRICA"
"SEYCHELLES",10,"AFRICA"
"EL SALVADOR",10,"CENTRAL AMERICA AND THE CARIBBEAN"
"BRUNEI",9.8,"EAST AND SOUTHEAST ASIA"
"IRAN",9.7,"MIDDLE EAST"
"BAHRAIN",9.6,"MIDDLE EAST"
"AMERICAN SAMOA",9.5,"AUSTRALIA AND OCEANIA"
"FIJI",9.4,"AUSTRALIA AND OCEANIA"
"MONTSERRAT",9.4,"CENTRAL AMERICA AND THE CARIBBEAN"
"BAHAMAS THE",9.2,"CENTRAL AMERICA AND THE CARIBBEAN"
"GRENADA",8.8,"CENTRAL AMERICA AND THE CARIBBEAN"
"MONGOLIA",8.6,"EAST AND SOUTHEAST ASIA"
"UKRAINE",8.4,"EUROPE"
"GREENLAND",8.3,"NORTH AMERICA"
"CYPRUS",7.9,"EUROPE"
"KAZAKHSTAN",7.9,"CENTRAL ASIA"
"SAINT KITTS AND NEVIS",7.9,"CENTRAL AMERICA AND THE CARIBBEAN"
"SAINT PIERRE AND MIQUELON",7.6,"NORTH AMERICA"
"SINT MAARTEN",7.5,"CENTRAL AMERICA AND THE CARIBBEAN"
"BULGARIA",7.5,"EUROPE"
"NAURU",7.5,"AUSTRALIA AND OCEANIA"
"CURACAO",7.4,"CENTRAL AMERICA AND THE CARIBBEAN"
"ARGENTINA",7.4,"SOUTH AMERICA"
"LEBANON",7.3,"MIDDLE EAST"
"VIRGIN ISLANDS",7.2,"CENTRAL AMERICA AND THE CARIBBEAN"
